Primer Nombre,Apellido,Salario,Pais Residencia,Hijos,Pais Origen,Experiencia,Contratacion
Hulda,Murrell,$3950.81,Peru,2,Peru,5,2020
Barbey,Guitton,$4343.11,United States,3,United States,5,2021
Orson,Malam,$3201.93,United States,2,Brazil,8,2023
Lucie,Husband,$4441.92,United States,1,United States,8,2017
Graeme,Studdard,$3826.11,Peru,3,Australia,3,2016
Brandise,Sporton,$2830.38,Brazil,1,Brazil,3,2017
Tannie,Murrie,$2025.20,United States,0,Brazil,4,2019
Finley,,$2326.88,,2,Brazil,5,2020
Shay,Rowat,$2407.30,United States,2,United States,5,2017
Julie,Richardeau,$4777.82,Brazil,1,Brazil,9,2023
Filippo,Stritton,$3115.13,Peru,0,Brazil,7,2023
Anastasia,Brunn,$4111.24,Brazil,2,Brazil,1,2021
Brewster,Mathevet,$1896.88,Brazil,0,Brazil,4,2023
Rickard,Tsar,$1656.19,Brazil,1,Brazil,2,2018
Lotti,Hamberstone,$4671.28,United States,2,Brazil,4,2022
Sheila,Lambart,$4650.87,Brazil,0,Peru,7,2023
Rudyard,Scullion,$1833.43,United States,1,Brazil,9,2017
Lisette,Veryan,$2144.59,United States,2,United States,3,2021
Olenka,Lording,$2339.44,United States,1,Brazil,8,2023
Larina,Minster,$2569.31,Brazil,1,Brazil,6,2015
Brnaba,,$3348.01,,0,Brazil,5,2017
Darcie,Snare,$4200.42,Peru,3,Brazil,10,2020
Ciro,Claworth,$4541.55,Brazil,3,Brazil,6,2022
,Duffil,$2121.42,Peru,0,United States,8,2022
Devland,,$2531.69,,3,Brazil,9,2015
Tracee,Scarsbrick,$2328.02,Brazil,3,United States,0,2023
Keriann,Merali,$4488.55,United States,1,United States,1,2020
Coralyn,Gullberg,$1908.69,Brazil,3,United States,1,2021
Adolphe,Aitkenhead,$2312.06,Brazil,1,Brazil,8,2016
Edita,Burgen,$2460.82,Brazil,0,United States,6,2019
Donn,Batkin,$3365.60,United States,1,United States,10,2021
Justin,Clarabut,$2663.38,Brazil,2,Brazil,1,2019
Stefanie,Giffard,$4711.40,United States,2,Peru,2,2019
Ardine,Bricknell,$1755.66,Brazil,0,Peru,6,2016
Nobie,Holson,$1409.99,Brazil,0,Chile,1,2016
Trevor,Pray,$2637.49,Costa Rica,2,Peru,2,2023
Rhonda,Ebunoluwa,$1836.61,Brazil,2,Brazil,3,2022
Tessa,Kilshaw,$4914.30,Brazil,1,Brazil,10,2016
Theodore,Kimmons,$2252.37,Peru,1,Brazil,2,2021
David,Kleynen,$1862.88,Peru,0,Costa Rica,0,2016
Shani,Nares,$1525.77,Brazil,0,United States,7,2023
Edy,McPhelimey,$1378.62,Costa Rica,1,Brazil,3,2016
Bev,Brunesco,$1186.17,Peru,0,Brazil,8,2020
Martha,Roskelley,$4448.87,United States,0,Brazil,9,2019
Johannah,Dearden,$4177.90,Brazil,0,United States,2,2018
Vitoria,Showl,$4856.48,United States,0,United States,5,2020
Edithe,Pigram,$4942.99,Brazil,0,United States,3,2020
Sigvard,Menzies,$3312.79,Peru,,,8,2022
Tomkin,Aumerle,$1304.92,Brazil,1,United States,6,2016
Costa,Nizard,$4079.50,Brazil,0,United States,10,2017
Gayelord,Fursey,$2777.53,Brazil,,,4,2020
Tristan,Pudsey,$3938.29,Brazil,3,Brazil,7,2023
Patric,Gooley,$1488.92,Brazil,1,Costa Rica,4,2023
Winston,Snashall,$1598.11,Brazil,,,9,2016
Nealson,Clancy,$3306.65,Peru,2,United States,9,2016
Helsa,Wallington,$1863.49,Peru,3,United States,3,2020
Harrie,Nickerson,$1698.35,United States,2,United States,0,2017
Hailee,Elmes,$1604.16,Brazil,3,United States,0,2020
,Alkin,$2379.61,Brazil,1,United States,8,2015
Anabel,Doole,$1488.22,Peru,3,Brazil,3,2018
Cristina,,$1123.75,,2,United States,0,2017
Karoly,Ronaghan,$2602.33,Brazil,,,4,2022
Bobina,Giacomo,$1525.72,United States,1,United States,0,2023
Elmira,Aylesbury,$3431.63,Brazil,2,United States,0,2020
Edward,Kepling,$3982.61,Peru,1,Peru,9,2020
Blondelle,Toynbee,$1714.67,Brazil,1,Brazil,4,2019
Allx,Bertrand,$3395.14,Brazil,1,United States,0,2018
Stepha,Goldsbury,$4887.42,United States,2,Costa Rica,7,2021
Bogey,Laydon,$1221.93,Peru,3,United States,5,2018
Debora,Marikhin,$2361.70,United States,0,Brazil,1,2016
Meg,Mudd,$2490.02,United States,2,Peru,7,2018
Pooh,Toplin,$4783.75,Brazil,1,Peru,7,2018
Niel,Schubuser,$4381.63,United States,1,Peru,6,2022
Elsey,Dilleston,$2424.85,Brazil,2,Chile,4,2019
Irena,Torrijos,$3271.24,United States,3,Brazil,9,2022
Niall,Gronowe,$2343.16,United States,1,Brazil,4,2022
Vladamir,Stockill,$3514.03,United States,2,Brazil,9,2023
Tod,Drees,$3170.40,Brazil,3,Brazil,10,2023
Rutter,Cristoforo,$4561.35,United States,1,Brazil,1,2020
Chauncey,Pendreigh,$2799.23,United States,2,United States,2,2017
Beaufort,Franklin,$4050.56,Brazil,,,6,2017
Igor,Sanpher,$2400.38,Peru,1,Peru,9,2015
Armin,Jandl,$3571.48,Brazil,0,United States,2,2015
Willey,Markovich,$1409.77,United States,3,Brazil,8,2016
Min,MacQuarrie,$4405.16,Costa Rica,0,Brazil,1,2020
Humfried,MacAloren,$1105.84,United States,3,Chile,4,2015
Mignonne,Norquoy,$1639.95,Peru,3,Italy,10,2022
Sherwood,Kinnen,$4119.94,Brazil,2,United States,9,2020
Dwain,Graddon,$3539.11,Brazil,2,Peru,4,2015
Iggie,Clearie,$2614.93,Brazil,1,Brazil,4,2016
Fidelio,Valenti,$3847.90,Brazil,2,Brazil,10,2019
Lisette,Bodicam,$2962.18,Peru,3,Brazil,3,2015
,Coutthart,$2425.33,Peru,2,United States,1,2016
Delmore,Carolan,$1187.41,United States,3,Brazil,0,2017
Elianore,Glanvill,$1614.12,Peru,1,United States,6,2018
Dee dee,Garland,$1862.98,Brazil,1,Brazil,10,2017
Mar,Easum,$3263.39,United States,2,Brazil,8,2020
Jaimie,Ryley,$3666.65,United States,1,United States,5,2023
Jo-anne,Aguilar,$2194.03,Brazil,2,Peru,10,2018
Dorey,Gossipin,$4133.59,United States,0,Brazil,1,2023
Carleen,Oland,$4497.19,Peru,3,Brazil,10,2017
Rivi,Balding,$3776.91,Brazil,0,United States,10,2016
Orin,Mateja,$4521.28,Brazil,0,United States,5,2019
Stella,Matchitt,$1632.38,United States,0,Peru,4,2023
Adelina,Abbey,$4453.80,Peru,1,Brazil,10,2015
Madlin,Exposito,$4952.92,Brazil,1,United States,3,2019
Barbara,Vedenyakin,$4461.00,United States,2,Chile,5,2017
Joanie,Reymers,$2483.99,Peru,0,Brazil,3,2018
Dilan,Sanderson,$3575.74,United States,0,Brazil,0,2022
Leann,Magrannell,$4843.51,United States,3,United States,10,2021
Cleveland,Filippov,$1168.78,Brazil,0,Peru,10,2020
Melinda,Bowcock,$4327.78,Brazil,0,Italy,6,2016
Ives,Justham,$4087.79,Brazil,2,Costa Rica,1,2017
Patience,Reedshaw,$4488.48,United States,2,Costa Rica,4,2015
Susann,Waby,$1915.03,United States,2,United States,6,2020
Brittani,Di Bartolomeo,$4220.88,Brazil,,,5,2022
Codi,Iorillo,$3819.63,Brazil,2,Brazil,4,2017
Kriste,Itzkin,$4789.86,United States,1,Brazil,4,2023
Sutherlan,Shadfourth,$3769.42,Brazil,3,Peru,9,2020
Chalmers,Bims,$4076.63,Brazil,1,United States,7,2021
Bevon,Hammer,$2487.14,Brazil,0,Peru,2,2019
Hilarius,McCoughan,$4224.86,Brazil,,,3,2021
Lola,Kupke,$1714.26,United States,3,United States,0,2017
Breanne,Patemore,$3967.72,United States,2,United States,4,2023
Garald,Filippi,$4207.62,Brazil,2,Peru,9,2015
Mandie,Kunert,$4015.17,United States,0,United States,4,2020
,Bridge,$1855.35,Brazil,0,Brazil,4,2018
Antoine,Dallimare,$2069.49,Peru,2,Brazil,8,2020
Rita,Matuschek,$2386.65,Peru,2,Brazil,10,2019
Homer,Shoulders,$3744.60,Brazil,2,Brazil,2,2017
Sandy,Canner,$4303.09,Peru,1,Peru,2,2017
Brewster,Beiderbecke,$3271.29,Brazil,1,Peru,5,2017
Kerrin,Brownfield,$4513.16,United States,3,United States,5,2023
Janelle,Cutmare,$4902.66,Brazil,3,Peru,7,2023
Meyer,Birchett,$3184.89,Peru,0,Brazil,5,2021
Theresina,Monckman,$1837.27,Brazil,0,Peru,8,2016
Catha,Holhouse,$2777.58,Peru,1,Brazil,2,2020
Isaiah,Langton,$3651.05,United States,0,United States,4,2018
Lindi,Writer,$3109.57,Brazil,1,Peru,6,2021
Dimitry,Palmar,$1462.43,United States,1,United States,7,2018
Cornela,Tonkinson,$4343.74,United States,0,Brazil,7,2022
Ailbert,D'Aeth,$3768.33,Brazil,3,Peru,1,2019
Padraig,Drewson,$2373.33,Brazil,0,Brazil,3,2023
Marcelia,Hagerty,$2074.62,United States,1,Peru,9,2017
Rosella,Kuschel,$4119.45,Brazil,3,United States,9,2023
Sallee,Minichi,$1799.26,Brazil,3,Brazil,6,2023
Arlyne,Maudson,$3570.98,Brazil,2,United States,8,2019
Fidelio,Rambaut,$3049.35,United States,1,United States,9,2020
Ruthanne,Dudderidge,$4862.62,Brazil,0,United States,2,2016
Karyl,Speaks,$4047.74,Peru,0,Peru,0,2017
Vale,Blanque,$2432.74,United States,3,United States,1,2021
Barry,Lodemann,$2845.99,Peru,2,Brazil,2,2017
Georas,Romanetti,$4016.33,Brazil,3,Brazil,3,2015
Stillman,Collingdon,$4226.28,Brazil,1,Brazil,10,2018
Kingsly,Grimmer,$1419.22,Peru,2,United States,9,2015
Alessandra,Paur,$2482.89,United States,3,Brazil,1,2020
Bernie,Blockley,$1820.28,Brazil,2,Peru,4,2018
Jake,Crellin,$4799.20,Brazil,2,United States,10,2020
Cassaundra,McAvaddy,$3731.72,United States,,,7,2021
Cairistiona,Fawdrie,$4697.62,Peru,3,Brazil,3,2017
Preston,Martinolli,$4908.81,United States,0,United States,7,2020
Vasili,McGeffen,$2532.96,Peru,1,Chile,9,2018
Anthia,Hurling,$4242.11,United States,0,Peru,10,2015
,Morson,$1443.03,United States,3,Brazil,1,2016
Joyann,O' Mahony,$3434.95,Brazil,3,United States,7,2021
Edward,Kleinschmidt,$3870.67,Brazil,1,United States,0,2020
Nathanial,Triplett,$4991.57,Brazil,1,United States,5,2019
Kamila,Cassedy,$1909.29,Brazil,1,Peru,4,2023
Daron,MacCafferty,$2408.44,United States,1,Brazil,0,2023
Rona,Andress,$3854.29,Brazil,3,Brazil,1,2021
Tammie,Redmore,$4823.25,Brazil,3,United States,1,2018
Johny,Albrighton,$2031.80,Brazil,1,Brazil,9,2022
Arnoldo,Rubroe,$3044.05,Brazil,,,3,2020
Alma,Crews,$4665.25,Brazil,0,Brazil,5,2015
Daile,Maleck,$1857.05,Brazil,1,Brazil,0,2018
Montgomery,,$3379.45,,3,Brazil,7,2017
Selinda,Tibb,$1884.85,Brazil,1,Brazil,5,2022
Rupert,Wace,$4052.51,United States,3,United States,1,2016
Pat,Mathevet,$3827.40,Brazil,3,Brazil,9,2018
Leilah,Skelhorn,$1368.78,United States,1,United States,2,2023
Broderic,Jiri,$3809.53,Brazil,2,Brazil,9,2020
Joella,Mariault,$3963.05,Brazil,1,United States,10,2023
Jeffy,Blare,$3980.26,Brazil,1,Peru,4,2016
Ethelda,Espie,$2035.83,Brazil,2,United States,3,2017
Clary,Bambrugh,$3616.13,Brazil,2,Peru,0,2018
Aldrich,Fernez,$4016.19,United States,1,Brazil,1,2019
Stace,Rucklidge,$1606.12,Brazil,3,Brazil,7,2016
Damian,Dracey,$1405.41,United States,3,Peru,8,2018
Jackquelin,Dilawey,$4164.41,Peru,2,Costa Rica,2,2021
Reg,Candie,$3858.46,United States,2,Brazil,8,2022
Onfre,Rounsivall,$4494.80,Brazil,0,Peru,7,2021
Dorice,Ginie,$4625.02,Peru,2,Brazil,7,2015
Else,Nussen,$2516.36,United States,1,Chile,1,2023
Carine,Bedberry,$1116.42,Peru,1,Brazil,0,2021
Lenee,Pentercost,$1228.45,Brazil,2,Peru,3,2020
Hermine,Maides,$1759.18,Brazil,3,Brazil,0,2023
Rici,Lokier,$4480.20,Brazil,,,0,2020
Alphonso,Clace,$1507.41,United States,2,Brazil,4,2016
Aurie,Piddletown,$2146.64,Peru,3,United States,4,2022
Vittoria,Busswell,$4745.05,United States,2,Brazil,0,2016
,Stenners,$2630.00,Brazil,1,Peru,1,2015
Fidole,Mc Carrick,$1114.13,Brazil,1,Brazil,3,2017
Wren,Agus,$3850.07,Peru,3,United States,0,2022
Georgie,Baynon,$3848.04,Brazil,3,Brazil,9,2015
Dode,Summerfield,$2050.45,United States,3,United States,0,2018
Alec,Shearwood,$4094.06,Brazil,2,Peru,9,2017
Caro,Loker,$4608.94,Brazil,3,Brazil,5,2022
Hagan,McTear,$1770.56,United States,1,Brazil,10,2021
Maurita,Wordington,$2566.27,Brazil,2,Peru,9,2017
Calla,Ruddell,$1841.83,Brazil,,,1,2016
Lisbeth,Gimblet,$1552.88,Brazil,2,United States,0,2015
Eirena,Sommerton,$1531.75,United States,3,Brazil,6,2015
Alexandrina,Coltherd,$4108.11,Peru,0,Brazil,10,2018
Paige,Doole,$3146.65,Costa Rica,1,Brazil,10,2015
Elianora,Forkan,$4783.56,Peru,1,Brazil,3,2023
Urbain,Jarley,$3242.68,United States,1,Brazil,4,2021
Cori,Baylie,$2554.00,Peru,2,United States,7,2023
Armando,Northill,$4501.65,United States,2,Brazil,6,2023
Kiah,L'Homme,$3404.20,United States,0,Brazil,9,2019
Atlanta,Schulz,$4184.06,Costa Rica,2,Peru,8,2021
Dalston,Cardis,$2008.68,United States,2,Brazil,0,2016
Saw,Attwood,$2624.24,Peru,1,United States,6,2021
Salomo,Pell,$2324.28,Brazil,0,United States,6,2016
Carolynn,Bonsul,$2138.70,United States,1,United States,6,2018
Garv,Freear,$4459.68,Brazil,0,United States,5,2016
Laureen,Fessier,$4011.39,Brazil,3,Brazil,4,2022
Ado,Burtt,$4327.84,Brazil,2,United States,9,2017
Shaylyn,Takle,$2162.61,Brazil,2,Brazil,4,2022
Allegra,Edden,$3783.91,Brazil,2,Peru,10,2022
Ginevra,Casburn,$4911.25,Brazil,2,Brazil,3,2023
Thomasine,,$2248.08,,3,United States,5,2015
Marshal,Perkis,$4163.53,Brazil,3,United States,0,2019
Sandra,Fellnee,$2595.18,Brazil,3,Brazil,5,2023
Zondra,Tuckwood,$4949.69,Peru,0,Chile,9,2018
Nicolis,Hrycek,$4420.89,Brazil,1,Brazil,4,2016
Ole,Coffin,$1328.41,Brazil,0,Italy,2,2018
Mamie,Lailey,$3522.64,Brazil,,,10,2015
Jarred,Mugridge,$4551.55,Brazil,2,United States,6,2019
Ammamaria,Kearley,$4926.45,United States,2,Brazil,10,2016
Noah,Haizelden,$2575.07,Brazil,,,4,2020
Tove,Goford,$3937.73,Brazil,2,United States,6,2015
Fabe,Lishman,$1807.24,United States,3,Brazil,10,2016
Kelsey,Ickowics,$4565.27,Costa Rica,0,Brazil,10,2018
Caro,Fillan,$4967.34,Brazil,0,Brazil,6,2021
Briana,Pembridge,$3288.24,United States,3,Costa Rica,8,2022
,Palister,$4189.63,Brazil,0,Brazil,0,2019
Molly,Shrimptone,$3126.88,Brazil,2,Peru,4,2021
Ferdinanda,Sandison,$2129.49,Brazil,1,United States,3,2022
Barney,Tabner,$3917.52,Peru,2,Brazil,1,2019
Belita,Stonuary,$1669.42,United States,3,Brazil,9,2015
Archibald,Persent,$2860.25,United States,0,Brazil,0,2022
Dal,Leipoldt,$1458.43,Brazil,0,Brazil,8,2022
Berti,MacLoughlin,$1927.55,United States,0,United States,2,2022
Prescott,Lamb-shine,$1319.53,Brazil,1,Brazil,6,2022
Elysia,Vondrach,$2338.99,United States,3,Brazil,0,2017
Leola,Caldecot,$3673.05,Brazil,3,United States,3,2018
Lara,Mitchinson,$2738.86,Peru,0,Brazil,8,2022
Karlyn,Benedick,$4272.42,United States,1,Costa Rica,3,2022
Raimondo,Olexa,$4386.13,United States,2,Peru,6,2015
Sydney,Sandwick,$2548.57,Brazil,,,3,2021
Netti,Sallowaye,$3013.48,United States,1,Australia,7,2023
Abey,McGiff,$4791.80,Peru,1,Peru,7,2023
Spense,Penticost,$2667.45,Peru,3,Brazil,3,2015
Ralf,Waye,$1947.81,United States,2,Peru,2,2022
Callean,Crose,$3970.07,Brazil,0,Brazil,1,2023
Ashlee,Littrick,$2672.21,Brazil,3,United States,0,2019
Angie,Dexter,$3490.86,Peru,3,Brazil,1,2023
Noelle,Headech,$4915.35,Peru,1,United States,7,2023
Nickie,Ridsdole,$1820.47,Brazil,0,United States,5,2023
Gothart,O' Hern,$3250.08,Brazil,1,Brazil,4,2021
Karlotte,Lorand,$2769.66,United States,2,Brazil,7,2022
Hope,Dodshun,$3855.68,Brazil,0,Brazil,10,2020
Evelin,,$1982.70,,1,United States,1,2016
Amie,Merrill,$2298.66,Brazil,1,Peru,7,2017
Alikee,Marishenko,$3533.56,Brazil,3,Australia,8,2015
Cahra,Pillinger,$1154.14,Peru,2,Peru,6,2016
Greggory,Ishaki,$4659.34,Brazil,1,Peru,5,2021
Lynne,Lewson,$1590.36,Brazil,3,Brazil,2,2022
Kris,Cobello,$3746.49,Brazil,1,Brazil,7,2019
Guenevere,Neeves,$1044.84,Brazil,3,Brazil,2,2019
Robyn,Thurlbourne,$1310.94,Peru,0,Costa Rica,0,2018
Carlene,Simonite,$3327.05,United States,2,Peru,9,2022
Oralee,Clurow,$2770.31,Brazil,2,United States,7,2020
Rea,Pegrum,$1440.24,Peru,2,United States,10,2015
Salomon,Oloshkin,$2741.68,Costa Rica,,,0,2023
Travis,Al Hirsi,$2491.73,Peru,2,United States,6,2017
Wood,,$4311.95,,,,5,2023
Juliann,Deverall,$3617.45,Peru,0,Brazil,10,2022
Al,Cundy,$3719.13,Costa Rica,0,Brazil,0,2023
Leland,Ondrus,$1080.27,Peru,,,4,2015
,Barber,$3710.97,Brazil,0,Brazil,1,2018
Andreas,Midlane,$1236.84,Brazil,3,Peru,4,2018
Waldon,McMeekin,$2286.27,United States,2,Peru,9,2022
Lawry,Guyer,$4930.51,Brazil,3,United States,10,2015
Boot,Thuillier,$4868.15,United States,1,United States,7,2015
Lavena,Ratlee,$4730.59,Costa Rica,0,Brazil,9,2021
Artemus,De Malchar,$2364.33,Brazil,,,5,2016
Laina,Rodgman,$1191.94,United States,1,United States,3,2023
Tallou,Aubri,$1514.98,Peru,3,Chile,10,2023
Odey,Hollow,$3429.45,Peru,0,Brazil,8,2021
Oralia,,$4470.80,,1,Brazil,1,2018
Shena,Huncote,$1850.24,Brazil,1,United States,1,2019
Mayer,Spikeings,$4724.24,Peru,2,Peru,9,2019
Melisa,Corsham,$1418.06,Peru,0,Brazil,0,2019
Randi,Hinkensen,$2760.07,United States,2,United States,4,2023
Kareem,Rowlett,$4950.30,Brazil,0,Brazil,2,2015
Leighton,Kasher,$2828.92,Brazil,1,Brazil,9,2018
Joanie,Ropking,$2647.81,Brazil,0,United States,6,2020
Ram,Pohling,$4650.40,Peru,0,Brazil,3,2023
Felix,Rizon,$4076.10,Costa Rica,2,United States,1,2017
Norman,McColl,$4706.69,Brazil,3,United States,5,2022
Farley,Blinckhorne,$2703.97,Brazil,0,United States,8,2017
Collette,Sephton,$1133.10,Peru,1,Peru,3,2019
Monah,Euels,$3977.26,Peru,3,United States,7,2019
Wileen,Olrenshaw,$1168.84,Costa Rica,0,United States,4,2018
Lane,Hodgon,$2292.96,United States,2,Brazil,10,2017
,Kloser,$3618.19,Brazil,0,Peru,1,2020
Ambrosius,Sokell,$1568.71,Costa Rica,1,Brazil,2,2023
Abigael,Merfin,$4310.47,Brazil,2,Brazil,1,2017
Costa,Lund,$2710.27,Brazil,0,Brazil,1,2018
Jerry,Geffinger,$1233.22,Brazil,2,United States,4,2018
Hilario,Lampel,$3440.71,Peru,1,Chile,4,2023
Eberto,Ucceli,$2025.86,Brazil,0,Peru,3,2018
Lydon,Wemes,$3698.75,Peru,0,United States,9,2021
Neddie,Houliston,$1329.92,Peru,2,Brazil,6,2021
Pren,Castlake,$1626.18,United States,0,Peru,2,2020
Lorena,De Meyer,$1882.65,Peru,1,Brazil,8,2022
Trip,Polino,$2520.51,United States,3,Brazil,3,2021
Maxie,Percy,$1202.61,Brazil,2,Brazil,3,2018
Julissa,,$2409.39,,2,Peru,1,2022
Kareem,McGirr,$1809.25,United States,3,Australia,9,2021
Myca,Kindley,$2235.43,Brazil,0,United States,2,2015
Verge,Celez,$1882.92,Peru,0,Brazil,5,2020
Clare,Bandiera,$4554.17,Brazil,0,United States,7,2022
Devonna,Caldaro,$4062.09,Brazil,2,Brazil,4,2019
Darwin,Padilla,$2909.51,Brazil,2,Peru,6,2020
Arch,Avrahamov,$3460.80,Brazil,3,Peru,7,2017
Rubina,Bartels-Ellis,$1223.38,Peru,1,Brazil,0,2020
Nicky,Dyzart,$3396.28,Costa Rica,1,Brazil,10,2016
Carolan,McCaughren,$1557.41,Peru,2,United States,2,2016
Lyndell,Hasker,$4254.53,United States,2,Brazil,2,2016
Bucky,Euston,$3069.76,Brazil,0,United States,7,2020
Ranice,Rome,$3534.85,United States,3,United States,3,2022
Dave,Siegertsz,$3027.12,United States,2,United States,2,2015
Crystie,Ludye,$3065.53,Brazil,3,Brazil,4,2023
Hermione,Lerwell,$3764.33,United States,0,Brazil,9,2022
Son,Simonutti,$4505.74,Brazil,1,Chile,0,2018
Ben,Pawellek,$1265.91,Brazil,2,Brazil,4,2015
Micheal,Chesley,$3138.31,Peru,0,United States,9,2023
Neely,Guerri,$2488.06,Australia,0,Brazil,8,2019
Norbert,Solomonides,$3181.36,Peru,2,Peru,5,2021
Fanya,Heaven,$2261.78,Brazil,3,United States,1,2016
Mab,Babidge,$3242.39,United States,3,Brazil,10,2020
Magdalena,Andrasch,$4718.06,Peru,1,Brazil,7,2022
Kimberlyn,Corke,$4916.48,United States,3,United States,9,2018
Emmi,Farans,$2993.76,Brazil,3,United States,0,2022
Karia,O'Loughlin,$3392.51,Brazil,,,7,2022
Hedda,Meanwell,$3197.47,Brazil,1,Brazil,1,2021
Crichton,Wingfield,$4986.97,Peru,3,Peru,1,2020
Jeanette,Topping,$3034.78,United States,1,Peru,2,2017
Tedra,Brouard,$1111.11,Brazil,2,Brazil,5,2021
,Heamus,$2280.55,United States,3,Brazil,3,2015
Nickey,Brozsset,$1713.93,Peru,0,Australia,3,2023
Sarene,Humpherson,$3497.34,Brazil,3,Brazil,1,2017
Gilly,Nelane,$2325.60,Brazil,3,Brazil,3,2015
Weidar,Tomicki,$1537.67,Australia,0,Brazil,6,2016
Korie,Tissier,$3202.68,Brazil,2,Brazil,10,2022
Isaac,Towersey,$4256.05,Brazil,1,Brazil,8,2020
Nessi,Fakes,$1880.69,Brazil,2,Peru,2,2016
Emmalee,Kingaby,$2779.15,Brazil,0,Brazil,3,2020
Wood,Piechnik,$1307.59,Brazil,2,United States,5,2021
Tatiania,Leynham,$2864.06,Brazil,3,United States,7,2017
Delmore,Dymick,$2811.84,Peru,2,United States,9,2016
Monah,Mitchelmore,$2500.39,Peru,0,Peru,8,2021
Berti,Moloney,$2834.61,United States,2,Peru,1,2020
Morton,McCloughen,$3648.82,Costa Rica,2,Brazil,5,2021
Miof mela,Brazear,$4224.07,Brazil,,,6,2022
Drusy,Lownie,$4766.77,Brazil,0,Brazil,2,2015
Bernadina,Marconi,$2571.91,Brazil,0,United States,3,2018
Rozele,Clemmitt,$1697.18,Brazil,2,Brazil,0,2021
Daren,Maypother,$4966.41,Peru,0,Brazil,4,2023
Tommie,Chedgey,$1115.52,Brazil,0,Peru,6,2019
Tamara,Claiden,$4731.19,Brazil,2,Brazil,0,2023
Trude,Hendrick,$4998.28,Brazil,0,United States,6,2016
Ofelia,Amos,$1263.01,Brazil,3,Brazil,3,2017
Jacqui,Knutton,$1410.45,Brazil,1,Brazil,5,2015
Ede,Gladbach,$3253.11,Brazil,0,Peru,1,2016
Barris,Lorraway,$2865.16,Brazil,0,Brazil,10,2022
Liana,Arnaez,$1437.43,United States,2,United States,8,2022
Aristotle,Jahnke,$1999.08,Brazil,0,Brazil,10,2020
Tris,Antonoyev,$1701.25,United States,2,United States,1,2018
Amargo,Lehemann,$3171.51,United States,3,Peru,4,2016
Arlina,Bavister,$2754.75,Peru,1,Costa Rica,1,2018
Luise,Croysdale,$1840.37,Brazil,3,Brazil,6,2018
Anderea,Mosedall,$2684.54,Brazil,2,United States,4,2016
Boothe,Backen,$1005.75,United States,1,Brazil,1,2023
Lorettalorna,Bamlet,$2986.40,Peru,2,Brazil,7,2018
,Hessel,$4102.76,United States,1,Peru,3,2015
Beilul,Beatey,$1761.25,Brazil,0,Peru,4,2020
Obidiah,Leaton,$3925.53,Brazil,2,Brazil,5,2018
Obadiah,Harris,$2152.62,Peru,3,Brazil,8,2019
Shirleen,Heddan,$2410.04,Brazil,1,Brazil,9,2016
Vasili,Hanlon,$2586.49,United States,0,Brazil,0,2021
Ben,Lawrey,$4659.93,Brazil,0,Brazil,1,2016
Nataline,Walkinshaw,$4972.27,Peru,0,United States,6,2016
Malanie,Rylance,$2063.25,Brazil,3,Brazil,5,2016
Emeline,Massen,$4208.13,United States,3,Brazil,10,2015
Maressa,Adolf,$4714.13,Brazil,0,Brazil,2,2018
Witty,Duesberry,$1568.65,Brazil,3,Brazil,8,2017
Arman,Pidwell,$4430.22,Peru,0,United States,3,2015
